,lname,fname,party,state,anti_abortion,pro_abortion_rights,candidate_committees,democratic_candidate_committees,democratic_leadership_pac,democratic,environment,foreign_defense_policy,gun_control,gun_rights,human_rights,leadership_pacs,lgbtqia_rights,pro_israel,republican_candidate_committees,republican_leadership_pac,republican,womens_issues,in_office,total_donations,votes
0,Arkoosh,Val,D,PA,0,500,4000,4000,5000,-8014,1800,0,0,0,7529,5000,0,0,0,0,0,106012,0,125827,
1,Ayotte,Kelly,R,NH,0,0,-1000,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,-2000,
2,Baer,Dan,D,CO,0,0,0,0,0,0,0,-287,0,0,-575,0,0,0,0,0,0,0,0,-862,
3,Baldwin,Tammy,D,WI,0,300,8000,8000,60000,254550,3235,0,0,0,1100,80000,1025,2000,0,0,0,1500,1,419711,
4,Barnes,Mandela,D,WI,0,65799,34900,34900,443500,661334,61535,4150,19733,0,154977,454150,21719,251415,0,0,0,5800,0,2213912,1307282.0
5,Barnette,Kathy,R,PA,7900,0,2000,0,0,0,0,0,0,0,6564,6000,0,0,2000,6000,109023,0,0,139487,
6,Barrasso,John A,R,WY,0,0,1500,0,0,0,2900,0,0,0,0,100000,0,0,1500,85000,44055,0,1,234956,
7,Bartos,Jeff,R,PA,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,-105561,0,0,-104561,
8,Bartos,Jeff,R,PA,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,-105561,0,0,-104561,
9,Battino,Gillian,D,WI,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,383,
10,Beasley,Cheri,D,NC,0,83211,47250,47250,426600,873299,102954,12060,46264,0,189199,443100,17546,239217,0,0,0,1108271,0,3636221,1753203.0
11,Becker,Rick,R,ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8850,0,0,8850,
12,Beebe,Rodney Jason,R,OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,75,
13,Bengs,Brian,D,SD,0,0,2000,2000,0,0,0,0,0,0,250,5000,0,0,0,0,0,0,0,9250,44405.0
14,Bennet,Michael,D,CO,0,52400,16000,16000,369400,640358,83298,43733,21590,0,115269,371400,25234,180400,0,0,0,4901,1,1939984,1397170.0
15,Bequette,Jake,R,AR,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,35855,0,0,39855,
16,Beyer,Brad,R,WI,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,1000,
17,Black,Gary,R,GA,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,5000,14149,0,0,24149,
18,Blackburn,Marsha,R,TN,0,0,0,0,0,0,0,0,0,0,0,165500,0,0,0,160000,1173717,0,1,1499218,
19,Blanchard,Lynda,R,AL,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,3400,0,0,8400,
20,Blumenthal,Richard,D,CT,0,14000,2000,2000,377900,119836,23750,0,53795,0,122007,403900,20062,246413,0,0,0,0,1,1385664,723864.0
21,Blunt,Roy,R,MO,0,0,0,0,0,0,0,0,0,0,1200,-15000,0,0,0,-15000,-16759,0,1,-45558,
22,Bolduc,Don,R,NH,5000,0,4000,0,0,0,0,0,0,6103,0,160900,0,1000,4000,137500,92597,0,0,411100,243583.0
23,Bollier,Barbara,D,KS,0,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,
24,Booker,Charles,D,KY,0,14200,3000,3000,36000,45395,8900,0,0,0,25453,41000,0,0,0,0,0,0,0,176948,562928.0
25,Booker,Cory,D,NJ,0,8800,10000,10000,40500,247109,24049,0,0,0,28900,41500,0,10400,0,0,0,0,1,421259,
26,Boozman,John,R,AR,3662,0,5000,0,0,0,4812,5000,0,30793,2964,431300,0,143610,5000,360000,54399,0,1,1046541,587990.0
27,Bourn,Brenda,R,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,269,
28,Bradley,James,R,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12980,0,0,12980,
29,Bradshaw,Marquita,D,TN,0,0,0,0,0,0,-2500,0,0,0,0,0,0,0,0,0,0,0,0,-2500,
30,Braun,Mike,R,IN,0,0,0,0,0,0,8700,0,0,0,0,28500,0,0,0,25000,44460,0,1,106661,
31,Bremer,Eli,R,CO,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,2000,10200,0,0,16200,
32,Britt,Katie Boyd,R,AL,5000,0,5900,0,0,0,17400,0,0,19253,13850,307000,0,102550,5900,263500,58068,34000,0,832421,
33,Brnovich,Mark Mr.,R,AZ,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0,0,28358,0,0,33358,
34,Brooks,Mo,R,AL,0,0,17500,0,0,0,0,0,0,10327,3515,28400,0,2200,17500,20500,424210,0,1,524153,
35,Brown,Sam,R,NV,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,324700,0,0,327200,
36,Brown,Scott,R,NH,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,4000,
37,Brown,Sherrod,D,OH,0,20,0,0,97500,102159,1281,0,0,0,1423,107500,0,2351,0,0,0,100,1,312335,
38,Bruce,Catherine,D,SC,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,
39,Budd,Ted,R,NC,27981,0,37740,0,0,6400,0,28379,0,90519,5000,435200,0,144156,37740,343100,1124391,0,1,2280607,1887701.0
40,Bullock,Steve,D,MT,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,-500,
41,Burr,Richard,R,NC,0,0,2000,0,0,0,0,0,0,0,0,66900,0,0,2000,49400,0,0,1,120301,
42,Busch Valentine,Trudy,D,MO,0,0,2000,2000,27500,4625,250,0,0,0,1275,27500,1275,0,0,0,0,0,0,66425,579166.0
43,Byrne,Brendan Thomas Jr,D,NJ,0,0,-500,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,
44,Campana,Gino,R,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4500,0,0,4500,
45,Cantwell,Maria,D,WA,0,0,0,0,5000,1000,1000,0,0,0,0,5000,0,0,0,0,0,0,1,12001,
46,Capito,Shelley Moore,R,WV,0,0,1000,0,0,0,0,0,0,0,0,6500,0,0,1000,5000,5800,0,1,19301,
47,Cardin,Ben,D,MD,0,0,0,0,10000,0,0,0,0,0,0,10000,0,0,0,0,0,0,1,20001,
48,Carlin,Jim,R,IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,325,
49,Carper,Tom,D,DE,0,0,0,0,47500,8600,8900,0,0,0,2000,51500,0,0,0,0,0,0,1,118501,
50,Casey,Bob,D,PA,0,0,500,500,67500,152850,75,0,0,0,3760,72500,0,0,0,0,0,0,1,297686,
51,Cassidy,Bill,R,LA,0,0,0,0,0,0,2500,0,0,0,0,-5000,0,0,0,-5000,32597,0,1,25098,
52,Chambers,Gary,D,LA,0,0,-2500,-2500,0,500,54,0,0,0,260,0,0,0,0,0,0,2500,0,-1686,235077.0
53,Chesbro,Patricia,D,AK,0,-300,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,2052,0,2002,
54,Chlebek,Casey,R,IL,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,2500,
55,Christiansen,Katrina,D,ND,0,0,2000,2000,0,0,500,0,0,0,0,500,0,0,0,0,0,0,0,5000,51076.0
56,Clark,Josh,R,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,0,0,1250,
57,Collins,Susan M,R,ME,0,0,0,0,0,0,2900,0,0,2000,3600,1000,0,0,0,0,10916,0,1,20417,
58,Coons,Chris,D,DE,0,0,4000,4000,-2500,2000,3500,0,0,0,400,500,0,400,0,0,0,0,1,12301,
59,Cornyn,John,R,TX,0,0,500,0,0,177276,0,0,0,6225,0,0,0,0,500,0,43726,0,1,228228,
60,Cotton,Tom,R,AR,0,0,3000,0,0,0,0,2900,0,0,0,0,0,0,3000,0,345666,0,1,354567,
61,Cramer,Kevin,R,ND,1000,0,2000,0,0,0,0,0,0,0,0,65000,0,0,2000,60000,730,0,1,130731,
62,Crapo,Mike,R,ID,1000,0,2177,0,0,0,0,2900,0,15644,0,364200,0,139059,2177,330000,48247,0,1,905405,54745.0
63,Cruz,Ted,R,TX,50,0,6114,0,0,0,50,0,0,0,160,30000,0,0,6114,30000,1764421,0,1,1836910,
64,Dahm,Nathan Ryan,R,OK,0,0,6000,0,0,0,0,0,0,3400,0,3000,0,0,6000,0,18590,0,0,36990,
65,Daines,Steven,R,MT,0,0,0,0,0,0,0,0,0,0,225,8000,0,0,0,2000,40074,0,1,50300,
66,Demings,Val,D,FL,0,19130,59706,59706,423601,476246,64654,3650,26458,0,153593,436701,25550,19562,0,0,0,1000662,1,2769220,3201522.0
67,Dolan,Matt,R,OH,0,0,0,0,0,0,1250,0,0,0,0,5000,0,0,0,5000,2955,0,0,14205,
68,Duckworth,Tammy,D,IL,0,11367,18401,18401,352900,378518,33928,175059,22349,0,210942,363400,21878,229100,0,0,0,773519,1,2609763,2329136.0
69,Durant,Michael,R,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12055,0,0,-12055,
70,Durbin,Dick,D,IL,0,0,4000,4000,0,585,687,0,-755,0,0,0,0,1250,0,0,0,25,1,9793,
71,Eastman,Majorie,R,NC,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,5000,10005,5000,0,26005,
72,Edwards,Becky,R,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3878,0,0,-3878,
73,Elist,Jon,R,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5800,0,0,5800,
74,Ernst,Joni,R,IA,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,-11840,0,1,-9339,
75,Fetterman,John,D,PA,0,55735,19160,19160,304900,923907,91214,19500,30930,0,119844,317150,18218,244100,0,0,1000,5697,0,2170515,2637598.0
76,Fincher,Steve,R,TN,0,0,-4100,0,0,0,0,0,0,0,0,0,0,0,-4100,0,0,0,0,-8200,
77,Finkenauer,Abby,D,IA,0,0,10000,10000,12000,26253,3514,1500,2850,0,3139,17800,0,0,0,0,0,126572,0,213628,
78,Fischer,Deb,R,NE,0,0,2000,0,0,0,0,0,0,0,1000,99000,0,0,2000,96000,9483,0,1,209484,
79,Franken,Al,D,MN,0,0,-2000,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4000,
80,Franken,Mike,D,IA,0,1000,3500,3500,22000,71253,4340,33738,0,0,6800,32000,0,11975,0,0,0,85,0,190191,519094.0
81,Gardner,Cory,R,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,-2200,0,0,-15,0,0,-2215,
82,Gibbons,Mike,R,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3800,0,0,-3800,
83,Gideon,Sara,D,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,Gillibrand,Kirsten,D,NY,0,2250,10000,10000,116000,55666,5002,0,0,0,6800,121000,0,0,0,0,0,3000,1,329719,
85,Godlewski,Sarah,D,WI,0,1500,6500,6500,0,18988,3933,0,0,0,5050,0,0,3750,0,0,0,182285,0,228506,
86,Graham,Lindsey,R,SC,0,50,-4000,0,0,0,2900,1500,0,0,13645,10900,0,0,-4000,10000,199295,0,1,230291,
87,Grassley,Chuck,R,IA,0,0,3000,0,0,109460,0,0,0,43386,0,449000,0,80391,3000,391700,144524,0,1,1224462,672242.0
88,Gray-Jackson,Elvi,D,AK,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,250,
89,Greenfield,Theresa,D,IA,0,0,-2000,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4000,
90,Greitens,Eric,R,MO,0,0,0,0,0,0,0,0,0,0,0,14500,0,14500,0,0,4597,0,0,33597,
91,Grellner,Randy,R,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,500,
92,Hagerty,Bill,R,TN,0,0,2500,0,0,0,13600,1000,0,7000,0,35000,0,0,2500,27500,30051,0,1,119152,
93,Harper,Morgan,D,OH,0,0,0,0,0,-1322,630,0,0,0,10090,0,0,0,0,0,0,0,0,9398,
94,Harrison,Jaime,D,SC,0,0,1500,1500,-10000,0,0,0,0,0,0,-10000,0,0,0,0,0,0,0,-17000,
95,Hartzler,Vicky,R,MO,20435,0,30100,0,0,0,0,0,0,21415,0,166900,0,0,30100,153000,99519,13150,1,534620,
96,Hassan,Maggie,D,NH,0,102244,65115,65115,369700,1314473,135669,30620,34665,0,215284,380200,41293,354690,0,0,0,1241348,1,4350417,298351.0
97,Hawley,Josh,R,MO,200,0,0,0,0,0,0,0,0,0,0,40000,0,0,0,30000,1541524,0,1,1611725,
98,Hegar,MJ,D,TX,0,0,-4000,-4000,-2500,0,0,0,0,0,-5000,-2500,0,0,0,0,0,0,0,-18000,
99,Heinrich,Martin,D,NM,0,0,3000,2000,140000,29752,2250,0,1150,0,0,145000,0,0,0,0,0,0,1,323153,
100,Heitkamp,Heidi,D,ND,0,0,-2000,-2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4000,
101,Hickenlooper,John,D,CO,0,55,810,810,-2500,2900,1515,0,0,0,0,-2500,0,0,0,0,0,75,1,1166,
102,Hirono,Mazie K,D,HI,0,0,4000,4000,37500,13405,390,0,0,0,11840,37500,0,0,0,0,0,8675,1,117311,
103,Hoeven,John,R,ND,2000,0,4000,0,0,0,2900,0,0,14769,0,284900,0,211236,4000,248500,39488,0,1,811794,114031.0
104,Hoh,Matthew,3,NC,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,
105,Holland,Luke,R,OK,0,0,863,0,0,0,2900,0,0,0,0,56000,0,0,863,56000,1100,0,0,117726,
106,Holland,Mark,D,KS,0,0,2500,2500,0,240,3150,0,0,0,0,0,0,0,0,0,425,0,0,8815,372214.0
107,Horn,Kendra,D,OK,0,250,2000,2000,13500,10808,1000,0,0,0,0,13500,0,0,0,0,0,0,0,43058,404686.0
108,Horn,Madison,D,OK,0,0,0,0,250,250,0,0,0,0,0,250,0,0,0,0,0,0,0,750,368969.0
109,Hurst,Glenn,D,IA,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,250,
110,Hyde,Robert,R,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,250,
111,Hyde-Smith,Cindy,R,MS,1000,0,0,0,0,0,1000,0,0,0,2500,0,0,0,0,0,-351,0,1,4150,
112,Inhofe,James M,R,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1851,0,0,-1851,
113,Isom,Ally,R,UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3175,0,0,3175,
114,Jackson,Jeff,D,NC,0,0,5330,5330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10660,
115,James,Natalie,D,AR,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,1000,276792.0
116,Jeffries,Bobby,R,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,2000,
117,Johnson,Ron,R,WI,100,0,14150,0,0,75,0,18341,0,186267,8531,463200,0,107414,14150,383000,1289131,0,1,2484360,1334680.0
118,Jordan,Paulette,D,ID,0,0,0,0,-500,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,-1000,
119,Kaine,Tim,D,VA,0,0,5000,5000,25000,28225,500,5400,0,0,325,25000,0,0,0,0,0,0,1,94451,
120,Kean,Thomas H Jr,R,NJ,0,0,3000,0,0,0,0,0,0,0,0,17700,0,0,3000,11800,3000,0,0,38500,
121,Kelley,Buzz,R,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,5000,
122,Kelly,Mark,D,AZ,0,120215,36690,35690,449800,1480216,152297,367236,226023,0,236143,480200,67306,201430,0,0,250,802738,1,4656235,1322027.0
123,Kennedy,Joe III,D,MA,0,0,-1000,-1000,-2500,0,0,0,0,0,-2800,-1000,0,0,0,0,0,0,0,-8300,
124,Kennedy,John,R,LA,22452,0,4000,0,0,0,6800,15900,0,139152,4629,410800,0,74175,4000,382500,11900,0,1,1076309,1326448.0
125,Kenyatta,Malcolm,D,PA,0,0,2000,2000,0,2978,5800,1500,0,0,17309,5800,5700,0,0,0,0,0,0,43087,
126,King,Angus,I,ME,0,0,0,0,37500,1000,0,0,0,0,0,44500,0,0,0,0,0,0,1,83001,
127,King,Kelvin,R,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109974,0,0,109974,
128,Kingston,Jack,R,GA,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,0,-1000,
129,Klarides,Themis,R,CT,0,0,0,0,0,0,0,0,0,0,0,24500,0,0,0,5000,7500,0,0,37000,
130,Klobuchar,Amy,D,MN,0,1500,5518,5518,132500,7025,10050,0,0,0,7300,137500,0,0,0,0,0,0,1,306912,
